year,code,sex,population,deployment,tagID,divenum,maxdep,durwho,bzsounds,kindet,sc,NLmax
2009,2009_34,M,NRKW,oo09_234a,244,12,3.44944024,14.4,0,0,0,94.91844485
2009,2009_34,M,NRKW,oo09_234a,244,13,15.48923216,62.6,0,0,0,97.15725614
2009,2009_34,M,NRKW,oo09_234a,244,14,6.615883702,58.4,0,0,0,101.0331329
2009,2009_34,M,NRKW,oo09_234a,244,15,5.729394708,27.2,0,0,0,100.1616792
2009,2009_34,M,NRKW,oo09_234a,244,16,5.98080109,34.2,0,0,0,97.72884332
2009,2009_34,M,NRKW,oo09_234a,244,17,6.127053406,49.6,0,0,0,99.08610243
2009,2009_34,M,NRKW,oo09_234a,244,18,7.027606512,40.4,0,0,0,99.14475638
2009,2009_34,M,NRKW,oo09_234a,244,19,6.438482851,28.4,0,0,0,97.68044021
2009,2009_34,M,NRKW,oo09_234a,244,20,5.878863785,32.8,0,0,0,97.32952885
2009,2009_34,M,NRKW,oo09_234a,244,21,4.820435255,21.2,0,0,0,97.69131661
2009,2009_34,M,NRKW,oo09_234a,244,23,5.252668004,28.4,0,0,0,97.87387669
2009,2009_34,M,NRKW,oo09_234a,244,24,6.402222976,53.2,0,0,1,101.9609094
2009,2009_34,M,NRKW,oo09_234a,244,25,5.005727184,25,0,0,1,102.5975667
2009,2009_34,M,NRKW,oo09_234a,244,26,4.190213476,17.6,0,0,0,103.5307999
2009,2009_34,M,NRKW,oo09_234a,244,28,11.1417171,105.4,0,0,1,101.9875464
2009,2009_34,M,NRKW,oo09_234a,244,31,6.713481902,39.4,0,0,1,102.0908391
2009,2009_34,M,NRKW,oo09_234a,244,35,4.792185392,42.2,0,0,1,100.6245147
2009,2009_34,M,NRKW,oo09_234a,244,36,9.397667241,77.4,0,0,1,101.9980263
2009,2009_34,M,NRKW,oo09_234a,244,39,15.40676493,110.4,0,0,1,107.1209047
2009,2009_34,M,NRKW,oo09_234a,244,41,5.861024925,33.2,0,0,1,106.9752809
2009,2009_34,M,NRKW,oo09_234a,244,42,6.969319165,31.4,0,0,1,106.061304
2009,2009_34,M,NRKW,oo09_234a,244,43,3.64543163,15.2,0,0,1,105.601168
2009,2009_34,M,NRKW,oo09_234a,244,44,6.334072433,28.4,0,0,1,106.5294899
2009,2009_34,M,NRKW,oo09_234a,244,45,3.944596394,19.6,0,0,1,109.7325286
2009,2009_34,M,NRKW,oo09_234a,244,47,5.561691037,29.4,0,0,1,110.0464766
2009,2009_34,M,NRKW,oo09_234a,244,48,5.988871974,31.4,0,0,1,107.5744277
2009,2009_34,M,NRKW,oo09_234a,244,51,4.921559374,35,0,0,1,107.6275433
2009,2009_34,M,NRKW,oo09_234a,244,52,5.347264189,60.4,0,0,1,107.595577
2009,2009_34,M,NRKW,oo09_234a,244,56,5.086653538,43.8,0,0,1,103.7954951
2009,2009_34,M,NRKW,oo09_234a,244,58,4.412087314,24.6,0,0,1,103.2013151
2009,2009_34,M,NRKW,oo09_234a,244,60,11.82715351,125.6,0,0,1,106.5432555
2009,2009_34,M,NRKW,oo09_234a,244,70,5.865037153,30,0,0,1,106.8893984
2009,2009_34,M,NRKW,oo09_234a,244,73,4.754158289,33.2,0,0,1,99.8060758
2009,2009_34,M,NRKW,oo09_234a,244,74,22.26939331,165.2,0,0,1,104.02749
2009,2009_34,M,NRKW,oo09_234a,244,77,4.802439757,31.4,0,0,1,110.9410072
2009,2009_34,M,NRKW,oo09_234a,244,78,4.068023425,17.8,0,0,0,109.0142526
2009,2009_34,M,NRKW,oo09_234a,244,80,17.74646352,147.2,0,0,0,109.1208431
2009,2009_34,M,NRKW,oo09_234a,244,85,13.87133143,146.4,0,0,1,111.2516152
2009,2009_34,M,NRKW,oo09_234a,244,86,4.624876547,23.2,0,0,0,110.6825005
2009,2009_34,M,NRKW,oo09_234a,244,87,9.824109239,78.6,0,0,1,109.8285451
2009,2009_34,M,NRKW,oo09_234a,244,90,3.646001748,16.6,0,0,1,101.8977108
2009,2009_34,M,NRKW,oo09_234a,244,91,58.18939331,173,0,0,1,98.86668211
2009,2009_34,M,NRKW,oo09_234a,244,95,4.162459203,18.4,0,0,0,94.49897553
2009,2009_34,M,NRKW,oo09_234a,244,97,47.23800135,166.6,0,0,1,96.18129703
