audio_path,start,end,freq_min,freq_max,provider,kw_ecotype,clan,subclan,pod,call_type_raw,call_type,call_family,label_source
20110614/DFOCRP.H50bjRcb-WCV1.AURAL117LF.20110614_111500Z.flac,74.342,74.654,2528.0,3008.0,dfo_crp,SRKW,,,L,S19,S19,SRKW,dclde/dfo_crp
20110701/DFOCRP.H50bjRcb-WCV1.AURAL117LF.20110701_191500Z.flac,67.718,68.046,2720.0,3104.0,dfo_crp,NRKW,A,AB,,N20,N20,NRKW,dclde/dfo_crp
20110721/DFOCRP.H50bjRcb-WCV1.AURAL117LF.20110721_171500Z.flac,28.359,28.765,2272.0,2688.0,dfo_crp,NRKW,A,AA,,N04,N04,NRKW,dclde/dfo_crp
20110728/DFOCRP.H50bjRcb-WCV1.AURAL117LF.20110728_144500Z.flac,268.171,268.75,2784.0,3488.0,dfo_crp,NRKW,A,AA,A05,N09iii,N09iii,NRKW,dclde/dfo_crp
20110803/DFOCRP.H50bjRcb-WCV1.AURAL117LF.20110803_211500Z.flac,128.858,129.186,1696.0,1824.0,dfo_crp,TKW?,,,,T01,T01,Biggs/transient,dclde/dfo_crp
20110815/DFOCRP.H50bjRcb-WCV1.AURAL117LF.20110815_110000Z.flac,1.233,1.874,3264.0,3520.0,dfo_crp,TKW,,,,T12,T12,Biggs/transient,dclde/dfo_crp
20110815/DFOCRP.H50bjRcb-WCV1.AURAL117LF.20110815_110000Z.flac,31.53,33.78,1344.0,1824.0,dfo_crp,TKW,,,,T12,T12,Biggs/transient,dclde/dfo_crp
20110815/DFOCRP.H50bjRcb-WCV1.AURAL117LF.20110815_110000Z.flac,33.217,33.734,2624.0,2784.0,dfo_crp,TKW,,,,T12,T12,Biggs/transient,dclde/dfo_crp
20110815/DFOCRP.H50bjRcb-WCV1.AURAL117LF.20110815_110000Z.flac,33.984,34.406,1152.0,1312.0,dfo_crp,TKW,,,,T12,T12,Biggs/transient,dclde/dfo_crp
20110815/DFOCRP.H50bjRcb-WCV1.AURAL117LF.20110815_110000Z.flac,69.406,72.562,1408.0,2080.0,dfo_crp,TKW,,,,T12,T12,Biggs/transient,dclde/dfo_crp
20110815/DFOCRP.H50bjRcb-WCV1.AURAL117LF.20110815_110000Z.flac,72.53,73.077,2112.0,2272.0,dfo_crp,TKW,,,,T12,T12,Biggs/transient,dclde/dfo_crp
20110815/DFOCRP.H50bjRcb-WCV1.AURAL117LF.20110815_110000Z.flac,111.765,115.874,1504.0,2048.0,dfo_crp,TKW,,,,T12,T12,Biggs/transient,dclde/dfo_crp
20110815/DFOCRP.H50bjRcb-WCV1.AURAL117LF.20110815_110000Z.flac,114.811,116.186,5696.0,5984.0,dfo_crp,TKW,,,,T12,T12,Biggs/transient,dclde/dfo_crp
20110816/DFOCRP.H50bjRcb-WCV1.AURAL117LF.20110816_050000Z.flac,39.155,39.577,3008.0,3456.0,dfo_crp,NRKW,G,GG,,N45,N45,NRKW,dclde/dfo_crp
20110816/DFOCRP.H50bjRcb-WCV1.AURAL117LF.20110816_050000Z.flac,53.172,53.453,2720.0,3232.0,dfo_crp,NRKW,G,GG,,N45,N45,NRKW,dclde/dfo_crp
20110816/DFOCRP.H50bjRcb-WCV1.AURAL117LF.20110816_050000Z.flac,59.969,60.328,3040.0,3424.0,dfo_crp,NRKW,G,GG,,N45,N45,NRKW,dclde/dfo_crp
20110816/DFOCRP.H50bjRcb-WCV1.AURAL117LF.20110816_050000Z.flac,61.875,62.125,3168.0,3680.0,dfo_crp,NRKW,G,GG,,N45,N45,NRKW,dclde/dfo_crp
20110816/DFOCRP.H50bjRcb-WCV1.AURAL117LF.20110816_050000Z.flac,64.812,65.499,3136.0,3584.0,dfo_crp,NRKW,G,GG,,N45,N45,NRKW,dclde/dfo_crp
20110816/DFOCRP.H50bjRcb-WCV1.AURAL117LF.20110816_050000Z.flac,66.499,66.749,2784.0,3136.0,dfo_crp,NRKW,G,,,N40,N40,NRKW,dclde/dfo_crp
20110816/DFOCRP.H50bjRcb-WCV1.AURAL117LF.20110816_050000Z.flac,74.811,76.499,3200.0,3744.0,dfo_crp,NRKW,G,,,N40,N40,NRKW,dclde/dfo_crp
20110816/DFOCRP.H50bjRcb-WCV1.AURAL117LF.20110816_050000Z.flac,78.592,78.984,1312.0,1440.0,dfo_crp,NRKW,G,,,N40,N40,NRKW,dclde/dfo_crp
20110816/DFOCRP.H50bjRcb-WCV1.AURAL117LF.20110816_050000Z.flac,92.875,93.328,1984.0,2144.0,dfo_crp,NRKW,G,,,N40,N40,NRKW,dclde/dfo_crp
20110816/DFOCRP.H50bjRcb-WCV1.AURAL117LF.20110816_050000Z.flac,97.906,98.265,2976.0,3424.0,dfo_crp,NRKW,G,GG,,N45,N45,NRKW,dclde/dfo_crp
20110816/DFOCRP.H50bjRcb-WCV1.AURAL117LF.20110816_050000Z.flac,110.469,110.812,3296.0,3456.0,dfo_crp,NRKW,G,,,N40,N40,NRKW,dclde/dfo_crp
20110816/DFOCRP.H50bjRcb-WCV1.AURAL117LF.20110816_050000Z.flac,111.468,112.389,2560.0,3072.0,dfo_crp,NRKW,G,,,N40,N40,NRKW,dclde/dfo_crp
