population,deployment,tagID,sex,divenum,maxdep,durwho,kindet,bzsounds,sc,context
NRKW,oo09_234a,244,M,12,3.44944024,14.4,0,0,0,non_foraging
NRKW,oo09_234a,244,M,13,15.48923216,62.6,0,0,0,non_foraging
NRKW,oo09_234a,244,M,14,6.615883702,58.4,0,0,0,non_foraging
NRKW,oo09_234a,244,M,15,5.729394708,27.2,0,0,0,non_foraging
NRKW,oo09_234a,244,M,16,5.98080109,34.2,0,0,0,non_foraging
NRKW,oo09_234a,244,M,17,6.127053406,49.6,0,0,0,non_foraging
NRKW,oo09_234a,244,M,18,7.027606512,40.4,0,0,0,non_foraging
NRKW,oo09_234a,244,M,19,6.438482851,28.4,0,0,0,non_foraging
NRKW,oo09_234a,244,M,20,5.878863785,32.8,0,0,0,non_foraging
NRKW,oo09_234a,244,M,21,4.820435255,21.2,0,0,0,non_foraging
NRKW,oo09_234a,244,M,23,5.252668004,28.4,0,0,0,non_foraging
NRKW,oo09_234a,244,M,24,6.402222976,53.2,0,0,1,non_foraging
NRKW,oo09_234a,244,M,25,5.005727184,25.0,0,0,1,non_foraging
NRKW,oo09_234a,244,M,26,4.190213476,17.6,0,0,0,non_foraging
NRKW,oo09_234a,244,M,28,11.1417171,105.4,0,0,1,non_foraging
NRKW,oo09_234a,244,M,31,6.713481902,39.4,0,0,1,non_foraging
NRKW,oo09_234a,244,M,35,4.792185392,42.2,0,0,1,non_foraging
NRKW,oo09_234a,244,M,36,9.397667241,77.4,0,0,1,non_foraging
NRKW,oo09_234a,244,M,39,15.40676493,110.4,0,0,1,non_foraging
NRKW,oo09_234a,244,M,41,5.861024925,33.2,0,0,1,non_foraging
NRKW,oo09_234a,244,M,42,6.969319165,31.4,0,0,1,non_foraging
NRKW,oo09_234a,244,M,43,3.64543163,15.2,0,0,1,non_foraging
NRKW,oo09_234a,244,M,44,6.334072433,28.4,0,0,1,non_foraging
NRKW,oo09_234a,244,M,45,3.944596394,19.6,0,0,1,non_foraging
NRKW,oo09_234a,244,M,47,5.561691037,29.4,0,0,1,non_foraging
NRKW,oo09_234a,244,M,48,5.988871974,31.4,0,0,1,non_foraging
NRKW,oo09_234a,244,M,51,4.921559374,35.0,0,0,1,non_foraging
NRKW,oo09_234a,244,M,52,5.347264189,60.4,0,0,1,non_foraging
NRKW,oo09_234a,244,M,56,5.086653538,43.8,0,0,1,non_foraging
NRKW,oo09_234a,244,M,58,4.412087314,24.6,0,0,1,non_foraging
NRKW,oo09_234a,244,M,60,11.82715351,125.6,0,0,1,non_foraging
NRKW,oo09_234a,244,M,70,5.865037153,30.0,0,0,1,non_foraging
NRKW,oo09_234a,244,M,73,4.754158289,33.2,0,0,1,non_foraging
NRKW,oo09_234a,244,M,74,22.26939331,165.2,0,0,1,non_foraging
